а а {'rel_weight': 0.9972268431529944, 'rel_center': 0.999482164650918, 'rel_inertia': 0.9998061921885278}
а б {'rel_weight': 0.9760563335947713, 'rel_center': 0.9916518584632907, 'rel_inertia': 0.9983249764290146}
а в {'rel_weight': 0.9970735548399741, 'rel_center': 0.9993337899574795, 'rel_inertia': 0.9999066185100247}
а г {'rel_weight': 0.9854404292347638, 'rel_center': 0.9984422221171135, 'rel_inertia': 0.9995698472150054}
а д {'rel_weight': 0.9853483924240387, 'rel_center': 0.9928138942127096, 'rel_inertia': 0.9987630683829211}
а е {'rel_weight': 0.9992446747643889, 'rel_center': 0.9981625191426423, 'rel_inertia': 0.9998374002521017}
а ё {'rel_weight': 0.9865635506872543, 'rel_center': 0.9960842592444704, 'rel_inertia': 0.9994536410338208}
а ж {'rel_weight': 0.9840078164501702, 'rel_center': 0.9987933389115288, 'rel_inertia': 0.9989454032070914}
а з {'rel_weight': 0.9799471335081632, 'rel_center': 0.9980260102293201, 'rel_inertia': 0.9994412101651237}
а и {'rel_weight': 0.9885647237601414, 'rel_center': 0.9990994127405909, 'rel_inertia': 0.9998804061208798}
а й {'rel_weight': 0.9983165837055569, 'rel_center': 0.9968826304152429, 'rel_inertia': 0.9992358844965026}
а к {'rel_weight': 0.9824192559381453, 'rel_center': 0.9972461639915319, 'rel_inertia': 0.9992346422133078}
а л {'rel_weight': 0.9929208989101549, 'rel_center': 0.9974211365522787, 'rel_inertia': 0.9995924009262759}
а м {'rel_weight': 0.9725223412145939, 'rel_center': 0.9980574616463751, 'rel_inertia': 0.9982404537834901}
а н {'rel_weight': 0.9892531276386144, 'rel_center': 0.9982900622353622, 'rel_inertia': 0.999370878246521}
а о {'rel_weight': 0.9927481011754774, 'rel_center': 0.9986064305123974, 'rel_inertia': 0.9997904150918644}
а п {'rel_weight': 0.9900028468422956, 'rel_center': 0.9962088345538176, 'rel_inertia': 0.9994343550236071}
а р {'rel_weight': 0.9891164978641016, 'rel_center': 0.9938931187565789, 'rel_inertia': 0.9980189225569948}
а с {'rel_weight': 0.9801422277247346, 'rel_center': 0.9971036096022051, 'rel_inertia': 0.999523756822665}
а т {'rel_weight': 0.9699136528330119, 'rel_center': 0.9985459480062713, 'rel_inertia': 0.9965923054971383}
а у {'rel_weight': 0.9919482148875352, 'rel_center': 0.9954847880283527, 'rel_inertia': 0.9981809253130172}
а ф {'rel_weight': 0.9275531242949087, 'rel_center': 0.9935855523414885, 'rel_inertia': 0.9946327406044517}
